MLP Curve Statistics — MLP_V1 — sampled at intervals of 5
============================================================

TRAINING LOSS CURVE (every 5 iterations)
========================================
 Iteration        Loss
------------------------
         1    1.054073
         6    0.714160
        11    0.583911
        16    0.517803
        21    0.477592
        26    0.444744
        31    0.426070
        36    0.405298
        41    0.380962
        46    0.371941
        51    0.352215
        56    0.344487
        61    0.338180
        66    0.317359
        71    0.313401
        76    0.309461
        77    0.300937

PRECISION-CONFIDENCE CURVE (threshold step 0.05)
================================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
PRECISION-RECALL CURVE (recall step ~0.05)
==========================================
  Recall ATTENTIVE P    SLEEPY PDISTRACTED P
--------------------------------------------
    0.00      1.0000      1.0000      1.0000
    0.05      1.0000      1.0000      0.8889
    0.10      1.0000      1.0000      0.9375
    0.15      1.0000      0.9583      0.9583
    0.20      0.9677      0.9677      0.9677
    0.25      0.9737      0.9744      0.9744
    0.30      0.9574      0.9783      0.9574
    0.35      0.9123      0.9815      0.9636
    0.40      0.9091      0.9836      0.9524
    0.45      0.9189      0.9855      0.9444
    0.50      0.9146      0.9870      0.9048
    0.55      0.8925      0.9881      0.8557
    0.60      0.8911      0.9785      0.8667
    0.65      0.8829      0.9608      0.8673
    0.70      0.8607      0.9550      0.8154
    0.75      0.8129      0.9496      0.7958
    0.80      0.8108      0.9237      0.7469
    0.85      0.7341      0.9275      0.7273
    0.90      0.6109      0.8947      0.6445
    0.95      0.4948      0.8614      0.5861
    1.00      0.3319      0.3341      0.3341

Average Precision (AP) per class:
  ATTENTIVE   : 0.8637
  SLEEPY      : 0.9569
  DISTRACTED  : 0.8556
