ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,perclos,blink_rate,label
0.2474,0.2427,0.2451,0.0026,15.084,-1.6548,179.5896,0.0,0.0,1
0.1455,0.1476,0.1466,0.0101,-35.2714,-2.805,8.4195,1.0,0.0,0
0.2542,0.2898,0.272,0.2038,-1.498,-12.6332,42.5681,0.0,0.0,2
0.1144,0.0998,0.1071,0.0056,18.3739,-4.6341,5.752,1.0,0.0,0
0.33,0.3103,0.3202,0.0048,19.1776,-0.2435,-174.8729,0.0,0.0,0
0.3415,0.3835,0.3625,0.0102,6.861,38.949,-175.3389,0.0,0.0,2
0.4031,0.394,0.3985,0.0081,22.2298,12.4247,-169.6505,0.0,0.0,0
0.3939,0.3375,0.3657,0.0084,21.7743,-26.02,176.4134,0.0,0.0,0
0.3129,0.4184,0.3657,0.0284,-8.6097,49.6048,171.8319,0.0,0.0,2
0.3152,0.3241,0.3197,0.3999,-10.4084,47.4294,164.5135,0.0,0.0,2
0.0981,0.0893,0.0937,0.0039,20.0024,-7.8129,-2.5325,1.0,0.0,2
0.0991,0.0871,0.0931,0.0051,18.0171,-7.9973,-2.8222,1.0,0.0,2
0.346,0.3429,0.3444,0.0187,28.3379,3.5719,-168.9505,0.0,0.0,2
0.0188,0.0446,0.0317,0.0264,-7.8217,-0.8275,0.9029,1.0,0.0,1
0.2849,0.1303,0.2076,0.02,24.8432,-41.9264,166.4274,1.0,0.0,2
0.139,0.0983,0.1186,0.0072,18.5841,-14.6826,175.435,1.0,0.0,1
0.4634,0.4415,0.4525,0.0088,28.3822,25.2577,-154.3512,0.0,0.0,0
0.188,0.1978,0.1929,0.0074,20.3623,2.0927,179.5347,1.0,0.0,1
0.1366,0.0775,0.1071,0.0102,23.6466,-5.9495,178.414,1.0,0.0,1
0.1304,0.0925,0.1114,0.0366,23.5171,10.7862,-169.5286,1.0,0.0,1
0.2967,0.2893,0.293,0.0078,-19.5663,-0.1712,3.9336,0.0,0.0,0
0.2661,0.2595,0.2628,0.0044,-3.8384,-5.5573,2.3696,0.0,0.0,1
0.3797,0.3897,0.3847,0.0073,27.6753,10.4934,-171.1133,0.0,0.0,0
0.022,0.05,0.036,0.0405,-10.0947,1.283,-2.3378,1.0,0.0,1
0.2607,0.2212,0.241,0.0085,36.7096,23.2341,-174.9481,0.0,0.0,2
0.2076,0.1691,0.1883,0.0106,20.4498,-2.1398,-2.2603,1.0,0.0,0
0.1125,0.1233,0.1179,0.01,-31.4975,2.1877,0.3667,1.0,0.0,2
0.2962,0.2966,0.2964,0.0535,27.9556,-18.0361,-153.1648,0.0,0.0,2
0.2949,0.2965,0.2957,0.0126,17.7005,1.368,-179.3244,0.0,0.0,0
0.2977,0.3379,0.3178,0.3759,7.6492,28.7,-27.8014,0.0,0.0,2
0.0993,0.1695,0.1344,0.0487,-36.9844,0.7379,-10.0812,1.0,0.0,2
0.1693,0.1653,0.1673,0.0324,31.9876,30.6917,-161.7083,1.0,0.0,2
0.2386,0.1962,0.2174,0.0266,-8.359,6.2168,-8.3285,1.0,0.0,0
0.3317,0.3324,0.332,0.058,-4.2702,-0.0096,1.7983,0.0,0.0,0
0.2121,0.2103,0.2112,0.0017,14.3818,-0.7466,179.0012,1.0,0.0,1
0.3028,0.2445,0.2737,0.274,-20.5415,-16.881,13.5381,0.0,0.0,2
0.0368,0.0163,0.0265,0.007,25.3695,10.3268,-175.8139,1.0,0.0,1
0.4149,0.3439,0.3794,0.0117,36.2334,-46.8547,162.0709,0.0,0.0,2
