MLP Curve Statistics — sampled at intervals of 5
============================================================

TRAINING LOSS CURVE (every 5 iterations)
========================================
 Iteration        Loss
------------------------
         1    1.072288
         6    0.830330
        11    0.750471
        16    0.688460
        21    0.647031
        26    0.593197
        31    0.557427
        36    0.535949
        41    0.510761
        46    0.495959
        51    0.486291
        56    0.477292
        61    0.461856
        66    0.474356
        71    0.460214
        76    0.449214
        81    0.439403
        86    0.433440
        91    0.429529
        96    0.428429
       101    0.418034
       106    0.414211
       111    0.422814
       116    0.417955
       121    0.402308
       126    0.399451
       131    0.397136
       136    0.391238
       141    0.390098
       146    0.405463
       148    0.392443

PRECISION-CONFIDENCE CURVE (threshold step 0.05)
================================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
      0.90      0.4467      0.7377      0.5472
      0.90      0.4467      0.7377      0.5333
      0.95      0.1366      0.6489      0.4467
      0.95      0.0519      0.6244      0.4388
      0.96      0.0519      0.6182      0.4145

PRECISION-RECALL CURVE (recall step ~0.05)
==========================================
  Recall ATTENTIVE P    SLEEPY PDISTRACTED P
--------------------------------------------
    0.00      1.0000      1.0000      1.0000
    0.05      1.0000      1.0000      1.0000
    0.10      1.0000      1.0000      0.9375
    0.15      0.9583      0.9565      0.9583
    0.20      0.9677      0.9677      0.9677
    0.25      0.9737      0.9744      0.9500
    0.30      0.9375      0.9783      0.9574
    0.35      0.9123      0.9815      0.9464
    0.40      0.9091      0.9836      0.9524
    0.45      0.9189      0.9855      0.9189
    0.50      0.9146      0.9870      0.9048
    0.55      0.9022      0.9765      0.9121
    0.60      0.9000      0.9681      0.8835
    0.65      0.8991      0.9703      0.8750
    0.70      0.8750      0.9550      0.8548
    0.75      0.8014      0.9496      0.8248
    0.80      0.7643      0.9167      0.7908
    0.85      0.7095      0.9209      0.7273
    0.90      0.6109      0.9007      0.6018
    0.95      0.5108      0.8563      0.5586
    1.00      0.3319      0.3341      0.3341

Average Precision (AP) per class:
  ATTENTIVE   : 0.8636
  SLEEPY      : 0.9551
  DISTRACTED  : 0.8649
